Business division desc,Business section desc,Business Function L6,Job code desc,Job func,Job Family,Process map
GSF Compliance FCC,GSF FCC Risk Assessment,GSF FCC Risk Assessment,Spl'st FCC Risk Assessment,CFCC,Risk Assessment,Fraud/AML Operations
BSC COO PVB,BSC COO PVB ops,BSC COO PVB Ops,An'yst private banking ops,Operations,Private bank operations,Business support
